Baraga Solar project 3 - 2018 data (Differentiator: Higher DC to AC ratio),,NOTES:,
Latitude,  46.69 ,"Location selected for EJ /policy reasons (because it is situated in a Native community), and selected locally for being in an area with better solar resource",
Longitude,  (88.62),,
System capacity (kW DC),1000,<-- auto-generated by SAM,
System capacity (W DC),"  1,000,000 ",,
DC to AC ratio,1.34,This is recommended by ATB. Higher,
AC capacity (kW AC),746.27,Found on SAM. Lower,
AC capacity (W AC),"  746,270 ",,
Mean capacity factor (%),18.6%,"Very low, worse than class 10",But better than Baraga 2
Capex (overnight cap cost) ($/kw)," $ 1,230.00 ","Class 10 - Moderate, 2022",
Fixed OPEX ($/kw-year), $ 22.03 ,"Class 10 - Moderate, 2022",
,,,
FROM SAM DATA DOWNLOAD					,,CALCULATED COLUMN,
Time stamp,AC inverter output power | (W),Capacity Factor (%),
"Mar 22, 02:00 pm",528207,70.78%,
"Mar 22, 03:00 pm",696500,93.33%,
"Mar 22, 04:00 pm",746269,100.00%,
"Mar 22, 05:00 pm",746269,100.00%,
"Mar 22, 06:00 pm",746269,100.00%,
"Mar 22, 07:00 pm",746269,100.00%,
"Mar 22, 08:00 pm",701318,93.98%,
"Mar 22, 09:00 pm",530775,71.12%,
"Mar 22, 10:00 pm",296535,39.74%,
"Mar 22, 11:00 pm",56978.8,7.64%,
"Mar 23, 12:00 am",0,0.00%,
"Mar 23, 01:00 am",0,0.00%,
"Mar 23, 02:00 am",0,0.00%,
"Mar 23, 03:00 am",0,0.00%,
"Mar 23, 04:00 am",0,0.00%,
"Mar 23, 05:00 am",0,0.00%,
"Mar 23, 06:00 am",0,0.00%,
"Mar 23, 07:00 am",0,0.00%,
"Mar 23, 08:00 am",0,0.00%,
"Mar 23, 09:00 am",0,0.00%,
"Mar 23, 10:00 am",0,0.00%,
"Mar 23, 11:00 am",0,0.00%,
"Mar 23, 12:00 pm",46835.3,6.28%,
"Mar 23, 01:00 pm",289987,38.86%,
"Mar 23, 02:00 pm",540404,72.41%,
"Mar 23, 03:00 pm",719012,96.35%,
"Mar 23, 04:00 pm",746269,100.00%,
"Mar 23, 05:00 pm",746269,100.00%,
"Mar 23, 06:00 pm",746269,100.00%,
"Mar 23, 07:00 pm",746269,100.00%,
"Mar 23, 08:00 pm",730454,97.88%,
"Mar 23, 09:00 pm",555112,74.38%,
"Mar 23, 10:00 pm",309314,41.45%,
"Mar 23, 11:00 pm",64761.7,8.68%,
"Mar 24, 12:00 am",0,0.00%,
"Mar 24, 01:00 am",0,0.00%,
"Mar 24, 02:00 am",0,0.00%,
"Mar 24, 03:00 am",0,0.00%,
"Mar 24, 04:00 am",0,0.00%,
"Mar 24, 05:00 am",0,0.00%,
"Mar 24, 06:00 am",0,0.00%,
"Mar 24, 07:00 am",0,0.00%,
"Mar 24, 08:00 am",0,0.00%,
"Mar 24, 09:00 am",0,0.00%,
"Mar 24, 10:00 am",0,0.00%,
"Mar 24, 11:00 am",0,0.00%,
"Mar 24, 12:00 pm",45501.3,6.10%,
"Mar 24, 01:00 pm",270059,36.19%,
"Mar 24, 02:00 pm",557585,74.72%,
"Mar 24, 03:00 pm",699305,93.71%,
"Mar 24, 04:00 pm",746269,100.00%,
"Mar 24, 05:00 pm",746269,100.00%,
"Mar 24, 06:00 pm",746269,100.00%,
"Mar 24, 07:00 pm",746269,100.00%,
"Mar 24, 08:00 pm",721361,96.66%,
"Mar 24, 09:00 pm",498721,66.83%,
"Mar 24, 10:00 pm",263540,35.31%,
"Mar 24, 11:00 pm",51526.7,6.90%,
"Mar 25, 12:00 am",0,0.00%,
"Mar 25, 01:00 am",0,0.00%,
"Mar 25, 02:00 am",0,0.00%,
"Mar 25, 03:00 am",0,0.00%,
"Mar 25, 04:00 am",0,0.00%,
"Mar 25, 05:00 am",0,0.00%,
"Mar 25, 06:00 am",0,0.00%,
"Mar 25, 07:00 am",0,0.00%,
"Mar 25, 08:00 am",0,0.00%,
"Mar 25, 09:00 am",0,0.00%,
"Mar 25, 10:00 am",0,0.00%,
"Mar 25, 11:00 am",0,0.00%,
"Mar 25, 12:00 pm",58339.8,7.82%,
"Mar 25, 01:00 pm",312713,41.90%,
"Mar 25, 02:00 pm",551121,73.85%,
"Mar 25, 03:00 pm",667638,89.46%,
"Mar 25, 04:00 pm",746269,100.00%,
"Mar 25, 05:00 pm",746269,100.00%,
"Mar 25, 06:00 pm",746269,100.00%,
"Mar 25, 07:00 pm",730152,97.84%,
"Mar 25, 08:00 pm",610677,81.83%,
"Mar 25, 09:00 pm",538268,72.13%,
"Mar 25, 10:00 pm",307882,41.26%,
"Mar 25, 11:00 pm",64160.6,8.60%,
"Mar 26, 12:00 am",0,0.00%,
"Mar 26, 01:00 am",0,0.00%,
"Mar 26, 02:00 am",0,0.00%,
"Mar 26, 03:00 am",0,0.00%,
"Mar 26, 04:00 am",0,0.00%,
"Mar 26, 05:00 am",0,0.00%,
"Mar 26, 06:00 am",0,0.00%,
"Mar 26, 07:00 am",0,0.00%,
"Mar 26, 08:00 am",0,0.00%,
"Mar 26, 09:00 am",0,0.00%,
"Mar 26, 10:00 am",0,0.00%,
"Mar 26, 11:00 am",0,0.00%,
"Mar 26, 12:00 pm",52634.5,7.05%,
"Mar 26, 01:00 pm",225274,30.19%,
"Mar 26, 02:00 pm",482994,64.72%,
"Mar 26, 03:00 pm",207934,27.86%,
"Mar 26, 04:00 pm",365542,48.98%,
"Mar 26, 05:00 pm",710432,95.20%,
"Mar 26, 06:00 pm",200777,26.90%,
"Mar 26, 07:00 pm",206960,27.73%,
"Mar 26, 08:00 pm",149809,20.07%,
"Mar 26, 09:00 pm",77258.9,10.35%,
"Mar 26, 10:00 pm",35627.7,4.77%,
"Mar 26, 11:00 pm",9663.21,1.29%,
"Mar 27, 12:00 am",0,0.00%,
"Mar 27, 01:00 am",0,0.00%,
"Mar 27, 02:00 am",0,0.00%,
"Mar 27, 03:00 am",0,0.00%,
"Mar 27, 04:00 am",0,0.00%,
"Mar 27, 05:00 am",0,0.00%,
"Mar 27, 06:00 am",0,0.00%,
"Mar 27, 07:00 am",0,0.00%,
"Mar 27, 08:00 am",0,0.00%,
"Mar 27, 09:00 am",0,0.00%,
"Mar 27, 10:00 am",0,0.00%,
"Mar 27, 11:00 am",0,0.00%,
"Mar 27, 12:00 pm",9745.73,1.31%,
"Mar 27, 01:00 pm",136285,18.26%,
"Mar 27, 02:00 pm",172165,23.07%,
"Mar 27, 03:00 pm",166360,22.29%,
"Mar 27, 04:00 pm",143856,19.28%,
"Mar 27, 05:00 pm",156006,20.90%,
"Mar 27, 06:00 pm",215405,28.86%,
"Mar 27, 07:00 pm",268412,35.97%,
"Mar 27, 08:00 pm",226877,30.40%,
"Mar 27, 09:00 pm",119544,16.02%,
"Mar 27, 10:00 pm",58677.6,7.86%,
"Mar 27, 11:00 pm",62499.2,8.37%,
"Mar 28, 12:00 am",0,0.00%,
"Mar 28, 01:00 am",0,0.00%,
"Mar 28, 02:00 am",0,0.00%,
"Mar 28, 03:00 am",0,0.00%,
"Mar 28, 04:00 am",0,0.00%,
"Mar 28, 05:00 am",0,0.00%,
"Mar 28, 06:00 am",0,0.00%,
"Mar 28, 07:00 am",0,0.00%,
"Mar 28, 08:00 am",0,0.00%,
"Mar 28, 09:00 am",0,0.00%,
"Mar 28, 10:00 am",0,0.00%,
"Mar 28, 11:00 am",0,0.00%,
"Mar 28, 12:00 pm",66296.8,8.88%,
"Mar 28, 01:00 pm",306494,41.07%,
"Mar 28, 02:00 pm",532458,71.35%,
"Mar 28, 03:00 pm",690435,92.52%,
"Mar 28, 04:00 pm",746269,100.00%,
"Mar 28, 05:00 pm",746269,100.00%,
"Mar 28, 06:00 pm",746269,100.00%,
"Mar 28, 07:00 pm",746269,100.00%,
"Mar 28, 08:00 pm",618074,82.82%,
"Mar 28, 09:00 pm",378401,50.71%,
"Mar 28, 10:00 pm",56933.6,7.63%,
"Mar 28, 11:00 pm",7885.13,1.06%,
"Mar 29, 12:00 am",0,0.00%,
"Mar 29, 01:00 am",0,0.00%,
"Mar 29, 02:00 am",0,0.00%,
"Mar 29, 03:00 am",0,0.00%,
"Mar 29, 04:00 am",0,0.00%,
"Mar 29, 05:00 am",0,0.00%,
"Mar 29, 06:00 am",0,0.00%,
"Mar 29, 07:00 am",0,0.00%,
"Mar 29, 08:00 am",0,0.00%,
"Mar 29, 09:00 am",0,0.00%,
"Mar 29, 10:00 am",0,0.00%,
"Mar 29, 11:00 am",0,0.00%,
"Mar 29, 12:00 pm",13129.2,1.76%,
"Mar 29, 01:00 pm",47449.1,6.36%,
"Mar 29, 02:00 pm",145177,19.45%,
"Mar 29, 03:00 pm",263365,35.29%,
"Mar 29, 04:00 pm",456980,61.24%,
"Mar 29, 05:00 pm",478785,64.16%,
"Mar 29, 06:00 pm",746269,100.00%,
"Mar 29, 07:00 pm",746269,100.00%,
"Mar 29, 08:00 pm",664167,89.00%,
"Mar 29, 09:00 pm",544641,72.98%,
"Mar 29, 10:00 pm",300052,40.21%,
"Mar 29, 11:00 pm",62793.5,8.41%,
"Mar 30, 12:00 am",0,0.00%,
"Mar 30, 01:00 am",0,0.00%,
"Mar 30, 02:00 am",0,0.00%,
"Mar 30, 03:00 am",0,0.00%,
"Mar 30, 04:00 am",0,0.00%,
"Mar 30, 05:00 am",0,0.00%,
"Mar 30, 06:00 am",0,0.00%,
"Mar 30, 07:00 am",0,0.00%,
"Mar 30, 08:00 am",0,0.00%,
"Mar 30, 09:00 am",0,0.00%,
"Mar 30, 10:00 am",0,0.00%,
"Mar 30, 11:00 am",0,0.00%,
"Mar 30, 12:00 pm",33351.7,4.47%,
"Mar 30, 01:00 pm",114905,15.40%,
"Mar 30, 02:00 pm",519687,69.64%,
"Mar 30, 03:00 pm",599125,80.28%,
"Mar 30, 04:00 pm",538409,72.15%,
"Mar 30, 05:00 pm",711150,95.29%,
"Mar 30, 06:00 pm",553070,74.11%,
"Mar 30, 07:00 pm",608474,81.54%,
"Mar 30, 08:00 pm",407108,54.55%,
"Mar 30, 09:00 pm",390186,52.28%,
"Mar 30, 10:00 pm",124212,16.64%,
"Mar 30, 11:00 pm",34954.6,4.68%,
"Mar 31, 12:00 am",0,0.00%,
"Mar 31, 01:00 am",0,0.00%,
"Mar 31, 02:00 am",0,0.00%,
"Mar 31, 03:00 am",0,0.00%,
"Mar 31, 04:00 am",0,0.00%,
"Mar 31, 05:00 am",0,0.00%,
"Mar 31, 06:00 am",0,0.00%,
"Mar 31, 07:00 am",0,0.00%,
"Mar 31, 08:00 am",0,0.00%,
"Mar 31, 09:00 am",0,0.00%,
"Mar 31, 10:00 am",0,0.00%,
"Mar 31, 11:00 am",0,0.00%,
"Mar 31, 12:00 pm",23625.7,3.17%,
"Mar 31, 01:00 pm",65952,8.84%,
"Mar 31, 02:00 pm",411718,55.17%,
"Mar 31, 03:00 pm",626808,83.99%,
"Mar 31, 04:00 pm",746269,100.00%,
"Mar 31, 05:00 pm",746269,100.00%,
"Mar 31, 06:00 pm",591439,79.25%,
"Mar 31, 07:00 pm",609669,81.70%,
"Mar 31, 08:00 pm",513619,68.82%,
"Mar 31, 09:00 pm",481627,64.54%,
"Mar 31, 10:00 pm",218789,29.32%,
"Mar 31, 11:00 pm",49438.6,6.62%,
"Apr 1, 12:00 am",0,0.00%,
"Apr 1, 01:00 am",0,0.00%,
"Apr 1, 02:00 am",0,0.00%,
"Apr 1, 03:00 am",0,0.00%,
"Apr 1, 04:00 am",0,0.00%,
"Apr 1, 05:00 am",0,0.00%,
"Apr 1, 06:00 am",0,0.00%,
"Apr 1, 07:00 am",0,0.00%,
"Apr 1, 08:00 am",0,0.00%,
"Apr 1, 09:00 am",0,0.00%,
"Apr 1, 10:00 am",0,0.00%,
"Apr 1, 11:00 am",0,0.00%,
"Apr 1, 12:00 pm",64346.3,8.62%,
"Apr 1, 01:00 pm",301242,40.37%,
"Apr 1, 02:00 pm",563543,75.51%,
"Apr 1, 03:00 pm",732940,98.21%,
"Apr 1, 04:00 pm",645323,86.47%,
"Apr 1, 05:00 pm",746269,100.00%,
"Apr 1, 06:00 pm",746269,100.00%,
"Apr 1, 07:00 pm",746269,100.00%,
"Apr 1, 08:00 pm",719849,96.46%,
"Apr 1, 09:00 pm",540239,72.39%,
"Apr 1, 10:00 pm",303713,40.70%,
"Apr 1, 11:00 pm",66415.4,8.90%,
"Apr 2, 12:00 am",0,0.00%,
"Apr 2, 01:00 am",0,0.00%,
"Apr 2, 02:00 am",0,0.00%,
"Apr 2, 03:00 am",0,0.00%,
"Apr 2, 04:00 am",0,0.00%,
"Apr 2, 05:00 am",0,0.00%,
"Apr 2, 06:00 am",0,0.00%,
"Apr 2, 07:00 am",0,0.00%,
"Apr 2, 08:00 am",0,0.00%,
"Apr 2, 09:00 am",0,0.00%,
"Apr 2, 10:00 am",0,0.00%,
"Apr 2, 11:00 am",0,0.00%,
"Apr 2, 12:00 pm",70253.1,9.41%,
"Apr 2, 01:00 pm",308304,41.31%,
"Apr 2, 02:00 pm",538608,72.17%,
"Apr 2, 03:00 pm",673727,90.28%,
"Apr 2, 04:00 pm",746269,100.00%,
"Apr 2, 05:00 pm",615744,82.51%,
"Apr 2, 06:00 pm",642662,86.12%,
"Apr 2, 07:00 pm",528409,70.81%,
"Apr 2, 08:00 pm",502210,67.30%,
"Apr 2, 09:00 pm",322090,43.16%,
"Apr 2, 10:00 pm",208415,27.93%,
"Apr 2, 11:00 pm",51535.6,6.91%,
"Apr 3, 12:00 am",0,0.00%,
"Apr 3, 01:00 am",0,0.00%,
"Apr 3, 02:00 am",0,0.00%,
"Apr 3, 03:00 am",0,0.00%,
"Apr 3, 04:00 am",0,0.00%,
"Apr 3, 05:00 am",0,0.00%,
"Apr 3, 06:00 am",0,0.00%,
"Apr 3, 07:00 am",0,0.00%,
"Apr 3, 08:00 am",0,0.00%,
"Apr 3, 09:00 am",0,0.00%,
"Apr 3, 10:00 am",0,0.00%,
"Apr 3, 11:00 am",1245.18,0.17%,
"Apr 3, 12:00 pm",29204.2,3.91%,
"Apr 3, 01:00 pm",75399.7,10.10%,
"Apr 3, 02:00 pm",158712,21.27%,
"Apr 3, 03:00 pm",306248,41.04%,
"Apr 3, 04:00 pm",379758,50.89%,
"Apr 3, 05:00 pm",532675,71.38%,
"Apr 3, 06:00 pm",575206,77.08%,
"Apr 3, 07:00 pm",424970,56.95%,
"Apr 3, 08:00 pm",358600,48.05%,
"Apr 3, 09:00 pm",236505,31.69%,
"Apr 3, 10:00 pm",83735.6,11.22%,
"Apr 3, 11:00 pm",41699.6,5.59%,
"Apr 4, 12:00 am",0,0.00%,
"Apr 4, 01:00 am",0,0.00%,
"Apr 4, 02:00 am",0,0.00%,
"Apr 4, 03:00 am",0,0.00%,
"Apr 4, 04:00 am",0,0.00%,
"Apr 4, 05:00 am",0,0.00%,
"Apr 4, 06:00 am",0,0.00%,
"Apr 4, 07:00 am",0,0.00%,
"Apr 4, 08:00 am",0,0.00%,
"Apr 4, 09:00 am",0,0.00%,
"Apr 4, 10:00 am",0,0.00%,
"Apr 4, 11:00 am",2141.45,0.29%,
"Apr 4, 12:00 pm",70773.7,9.48%,
"Apr 4, 01:00 pm",285648,38.28%,
"Apr 4, 02:00 pm",567172,76.00%,
"Apr 4, 03:00 pm",723722,96.98%,
"Apr 4, 04:00 pm",746269,100.00%,
"Apr 4, 05:00 pm",746269,100.00%,
"Apr 4, 06:00 pm",746269,100.00%,
"Apr 4, 07:00 pm",746269,100.00%,
"Apr 4, 08:00 pm",724739,97.11%,
"Apr 4, 09:00 pm",551359,73.88%,
"Apr 4, 10:00 pm",300278,40.24%,
"Apr 4, 11:00 pm",65916.4,8.83%,
"Apr 5, 12:00 am",0,0.00%,
"Apr 5, 01:00 am",0,0.00%,
"Apr 5, 02:00 am",0,0.00%,
"Apr 5, 03:00 am",0,0.00%,
"Apr 5, 04:00 am",0,0.00%,
"Apr 5, 05:00 am",0,0.00%,
"Apr 5, 06:00 am",0,0.00%,
"Apr 5, 07:00 am",0,0.00%,
"Apr 5, 08:00 am",0,0.00%,
"Apr 5, 09:00 am",0,0.00%,
"Apr 5, 10:00 am",0,0.00%,
"Apr 5, 11:00 am",3491.93,0.47%,
"Apr 5, 12:00 pm",85828.7,11.50%,
"Apr 5, 01:00 pm",330512,44.29%,
"Apr 5, 02:00 pm",513040,68.75%,
"Apr 5, 03:00 pm",354588,47.51%,
"Apr 5, 04:00 pm",380218,50.95%,
"Apr 5, 05:00 pm",574661,77.00%,
"Apr 5, 06:00 pm",671334,89.96%,
"Apr 5, 07:00 pm",709779,95.11%,
"Apr 5, 08:00 pm",342578,45.91%,
"Apr 5, 09:00 pm",251743,33.73%,
"Apr 5, 10:00 pm",73895,9.90%,
"Apr 5, 11:00 pm",23992.9,3.22%,
"Apr 6, 12:00 am",0,0.00%,
"Apr 6, 01:00 am",0,0.00%,
"Apr 6, 02:00 am",0,0.00%,
"Apr 6, 03:00 am",0,0.00%,
"Apr 6, 04:00 am",0,0.00%,
"Apr 6, 05:00 am",0,0.00%,
"Apr 6, 06:00 am",0,0.00%,
"Apr 6, 07:00 am",0,0.00%,
"Apr 6, 08:00 am",0,0.00%,
"Apr 6, 09:00 am",0,0.00%,
"Apr 6, 10:00 am",0,0.00%,
"Apr 6, 11:00 am",3004.77,0.40%,
"Apr 6, 12:00 pm",70129,9.40%,
"Apr 6, 01:00 pm",278404,37.31%,
"Apr 6, 02:00 pm",489318,65.57%,
"Apr 6, 03:00 pm",561742,75.27%,
"Apr 6, 04:00 pm",610856,81.85%,
"Apr 6, 05:00 pm",691685,92.69%,
"Apr 6, 06:00 pm",601856,80.65%,
"Apr 6, 07:00 pm",596056,79.87%,
"Apr 6, 08:00 pm",490534,65.73%,
"Apr 6, 09:00 pm",411617,55.16%,
"Apr 6, 10:00 pm",180984,24.25%,
"Apr 6, 11:00 pm",41414,5.55%,
"Apr 7, 12:00 am",1687.1,0.23%,
"Apr 7, 01:00 am",0,0.00%,
"Apr 7, 02:00 am",0,0.00%,
"Apr 7, 03:00 am",0,0.00%,
"Apr 7, 04:00 am",0,0.00%,
"Apr 7, 05:00 am",0,0.00%,
"Apr 7, 06:00 am",0,0.00%,
"Apr 7, 07:00 am",0,0.00%,
"Apr 7, 08:00 am",0,0.00%,
"Apr 7, 09:00 am",0,0.00%,
"Apr 7, 10:00 am",0,0.00%,
"Apr 7, 11:00 am",2140.36,0.29%,
"Apr 7, 12:00 pm",54567.7,7.31%,
"Apr 7, 01:00 pm",188358,25.24%,
"Apr 7, 02:00 pm",407062,54.55%,
"Apr 7, 03:00 pm",605977,81.20%,
"Apr 7, 04:00 pm",746269,100.00%,
"Apr 7, 05:00 pm",746269,100.00%,
"Apr 7, 06:00 pm",746269,100.00%,
"Apr 7, 07:00 pm",746269,100.00%,
"Apr 7, 08:00 pm",717349,96.12%,
"Apr 7, 09:00 pm",547960,73.43%,
"Apr 7, 10:00 pm",304130,40.75%,
"Apr 7, 11:00 pm",66021.3,8.85%,
"Apr 8, 12:00 am",2584.21,0.35%,
"Apr 8, 01:00 am",0,0.00%,
"Apr 8, 02:00 am",0,0.00%,
"Apr 8, 03:00 am",0,0.00%,
"Apr 8, 04:00 am",0,0.00%,
"Apr 8, 05:00 am",0,0.00%,
"Apr 8, 06:00 am",0,0.00%,
"Apr 8, 07:00 am",0,0.00%,
"Apr 8, 08:00 am",0,0.00%,
"Apr 8, 09:00 am",0,0.00%,
"Apr 8, 10:00 am",0,0.00%,
"Apr 8, 11:00 am",4414.18,0.59%,
"Apr 8, 12:00 pm",82623.1,11.07%,
"Apr 8, 01:00 pm",337167,45.18%,
"Apr 8, 02:00 pm",555832,74.48%,
"Apr 8, 03:00 pm",712997,95.54%,
"Apr 8, 04:00 pm",746269,100.00%,
"Apr 8, 05:00 pm",746269,100.00%,
"Apr 8, 06:00 pm",746269,100.00%,
"Apr 8, 07:00 pm",746269,100.00%,
"Apr 8, 08:00 pm",677492,90.78%,
"Apr 8, 09:00 pm",516710,69.24%,
"Apr 8, 10:00 pm",289161,38.75%,
"Apr 8, 11:00 pm",64207,8.60%,
"Apr 9, 12:00 am",2524.14,0.34%,
"Apr 9, 01:00 am",0,0.00%,
"Apr 9, 02:00 am",0,0.00%,
"Apr 9, 03:00 am",0,0.00%,
"Apr 9, 04:00 am",0,0.00%,
"Apr 9, 05:00 am",0,0.00%,
"Apr 9, 06:00 am",0,0.00%,
"Apr 9, 07:00 am",0,0.00%,
"Apr 9, 08:00 am",0,0.00%,
"Apr 9, 09:00 am",0,0.00%,
"Apr 9, 10:00 am",0,0.00%,
"Apr 9, 11:00 am",5249.52,0.70%,
"Apr 9, 12:00 pm",79855.1,10.70%,
"Apr 9, 01:00 pm",298260,39.97%,
"Apr 9, 02:00 pm",520409,69.73%,
"Apr 9, 03:00 pm",660877,88.56%,
"Apr 9, 04:00 pm",738797,99.00%,
"Apr 9, 05:00 pm",746269,100.00%,
"Apr 9, 06:00 pm",746269,100.00%,
"Apr 9, 07:00 pm",728647,97.64%,
"Apr 9, 08:00 pm",679657,91.07%,
"Apr 9, 09:00 pm",519071,69.56%,
"Apr 9, 10:00 pm",287419,38.51%,
"Apr 9, 11:00 pm",65829.3,8.82%,
"Apr 10, 12:00 am",3847.53,0.52%,
"Apr 10, 01:00 am",0,0.00%,
"Apr 10, 02:00 am",0,0.00%,
"Apr 10, 03:00 am",0,0.00%,
"Apr 10, 04:00 am",0,0.00%,
"Apr 10, 05:00 am",0,0.00%,
"Apr 10, 06:00 am",0,0.00%,
"Apr 10, 07:00 am",0,0.00%,
"Apr 10, 08:00 am",0,0.00%,
"Apr 10, 09:00 am",0,0.00%,
"Apr 10, 10:00 am",0,0.00%,
"Apr 10, 11:00 am",7539.19,1.01%,
"Apr 10, 12:00 pm",94344.4,12.64%,
"Apr 10, 01:00 pm",334765,44.86%,
"Apr 10, 02:00 pm",550972,73.83%,
"Apr 10, 03:00 pm",709623,95.09%,
"Apr 10, 04:00 pm",746269,100.00%,
"Apr 10, 05:00 pm",746269,100.00%,
"Apr 10, 06:00 pm",746269,100.00%,
"Apr 10, 07:00 pm",746269,100.00%,
"Apr 10, 08:00 pm",596051,79.87%,
"Apr 10, 09:00 pm",386923,51.85%,
"Apr 10, 10:00 pm",181845,24.37%,
"Apr 10, 11:00 pm",55038.9,7.38%,
"Apr 11, 12:00 am",2937.65,0.39%,
"Apr 11, 01:00 am",0,0.00%,
"Apr 11, 02:00 am",0,0.00%,
"Apr 11, 03:00 am",0,0.00%,
"Apr 11, 04:00 am",0,0.00%,
"Apr 11, 05:00 am",0,0.00%,
"Apr 11, 06:00 am",0,0.00%,
"Apr 11, 07:00 am",0,0.00%,
"Apr 11, 08:00 am",0,0.00%,
"Apr 11, 09:00 am",0,0.00%,
"Apr 11, 10:00 am",0,0.00%,
"Apr 11, 11:00 am",8336.98,1.12%,
"Apr 11, 12:00 pm",94345.9,12.64%,
"Apr 11, 01:00 pm",333383,44.67%,
"Apr 11, 02:00 pm",549162,73.59%,
"Apr 11, 03:00 pm",705363,94.52%,
"Apr 11, 04:00 pm",746269,100.00%,
"Apr 11, 05:00 pm",746269,100.00%,
"Apr 11, 06:00 pm",746269,100.00%,
"Apr 11, 07:00 pm",746269,100.00%,
"Apr 11, 08:00 pm",665040,89.12%,
"Apr 11, 09:00 pm",501383,67.19%,
"Apr 11, 10:00 pm",284035,38.06%,
"Apr 11, 11:00 pm",66849.5,8.96%,
"Apr 12, 12:00 am",3346.13,0.45%,
"Apr 12, 01:00 am",0,0.00%,
"Apr 12, 02:00 am",0,0.00%,
"Apr 12, 03:00 am",0,0.00%,
"Apr 12, 04:00 am",0,0.00%,
"Apr 12, 05:00 am",0,0.00%,
"Apr 12, 06:00 am",0,0.00%,
"Apr 12, 07:00 am",0,0.00%,
"Apr 12, 08:00 am",0,0.00%,
"Apr 12, 09:00 am",0,0.00%,
"Apr 12, 10:00 am",0,0.00%,
"Apr 12, 11:00 am",2923.11,0.39%,
"Apr 12, 12:00 pm",19693.5,2.64%,
"Apr 12, 01:00 pm",184464,24.72%,
"Apr 12, 02:00 pm",282391,37.84%,
"Apr 12, 03:00 pm",459719,61.60%,
"Apr 12, 04:00 pm",209921,28.13%,
"Apr 12, 05:00 pm",226666,30.37%,
"Apr 12, 06:00 pm",181220,24.28%,
"Apr 12, 07:00 pm",165861,22.23%,
"Apr 12, 08:00 pm",142957,19.16%,
"Apr 12, 09:00 pm",309911,41.53%,
"Apr 12, 10:00 pm",97048.1,13.00%,
"Apr 12, 11:00 pm",44342.8,5.94%,
"Apr 13, 12:00 am",2475.16,0.33%,
"Apr 13, 01:00 am",0,0.00%,
"Apr 13, 02:00 am",0,0.00%,
"Apr 13, 03:00 am",0,0.00%,
"Apr 13, 04:00 am",0,0.00%,
"Apr 13, 05:00 am",0,0.00%,
"Apr 13, 06:00 am",0,0.00%,
"Apr 13, 07:00 am",0,0.00%,
"Apr 13, 08:00 am",0,0.00%,
"Apr 13, 09:00 am",0,0.00%,
"Apr 13, 10:00 am",0,0.00%,
"Apr 13, 11:00 am",5765.48,0.77%,
"Apr 13, 12:00 pm",45277.5,6.07%,
"Apr 13, 01:00 pm",130221,17.45%,
"Apr 13, 02:00 pm",271501,36.38%,
"Apr 13, 03:00 pm",486377,65.17%,
"Apr 13, 04:00 pm",496017,66.47%,
"Apr 13, 05:00 pm",361168,48.40%,
"Apr 13, 06:00 pm",415648,55.70%,
"Apr 13, 07:00 pm",299128,40.08%,
"Apr 13, 08:00 pm",241696,32.39%,
"Apr 13, 09:00 pm",151984,20.37%,
"Apr 13, 10:00 pm",137333,18.40%,
"Apr 13, 11:00 pm",22781,3.05%,
"Apr 14, 12:00 am",2507.4,0.34%,
"Apr 14, 01:00 am",0,0.00%,
"Apr 14, 02:00 am",0,0.00%,
"Apr 14, 03:00 am",0,0.00%,
"Apr 14, 04:00 am",0,0.00%,
"Apr 14, 05:00 am",0,0.00%,
"Apr 14, 06:00 am",0,0.00%,
"Apr 14, 07:00 am",0,0.00%,
"Apr 14, 08:00 am",0,0.00%,
"Apr 14, 09:00 am",0,0.00%,
"Apr 14, 10:00 am",0,0.00%,
"Apr 14, 11:00 am",5918.27,0.79%,
"Apr 14, 12:00 pm",39873,5.34%,
"Apr 14, 01:00 pm",119605,16.03%,
"Apr 14, 02:00 pm",187302,25.10%,
"Apr 14, 03:00 pm",276061,36.99%,
"Apr 14, 04:00 pm",300063,40.21%,
"Apr 14, 05:00 pm",335194,44.92%,
"Apr 14, 06:00 pm",329526,44.16%,
"Apr 14, 07:00 pm",307483,41.20%,
"Apr 14, 08:00 pm",252850,33.88%,
"Apr 14, 09:00 pm",213392,28.59%,
"Apr 14, 10:00 pm",68082.2,9.12%,
"Apr 14, 11:00 pm",53990.4,7.23%,
"Apr 15, 12:00 am",4343.51,0.58%,
"Apr 15, 01:00 am",0,0.00%,
"Apr 15, 02:00 am",0,0.00%,
"Apr 15, 03:00 am",0,0.00%,
"Apr 15, 04:00 am",0,0.00%,
"Apr 15, 05:00 am",0,0.00%,
"Apr 15, 06:00 am",0,0.00%,
"Apr 15, 07:00 am",0,0.00%,
"Apr 15, 08:00 am",0,0.00%,
"Apr 15, 09:00 am",0,0.00%,
"Apr 15, 10:00 am",0,0.00%,
"Apr 15, 11:00 am",7430.2,1.00%,
"Apr 15, 12:00 pm",64507.2,8.64%,
"Apr 15, 01:00 pm",113055,15.15%,
"Apr 15, 02:00 pm",303026,40.61%,
"Apr 15, 03:00 pm",215858,28.92%,
"Apr 15, 04:00 pm",324909,43.54%,
"Apr 15, 05:00 pm",307630,41.22%,
"Apr 15, 06:00 pm",301411,40.39%,
"Apr 15, 07:00 pm",280681,37.61%,
